audit_id,entry_id,source_split,also_in_compressed,dataset,category,task,instruction,semantic_grounding_score,geometric_action_consistency_score,physics_feasibility_score,retrieval_utility_score,overall_quality_score,uncertainty,predicted_decision,human_semantic_grounding_score,human_geometric_action_consistency_score,human_physics_feasibility_score,human_retrieval_utility_score,human_overall_decision,adjudication_notes,provenance
audit_0012,s2p2e-rag-0028657,full,True,shapenet,glass_box,insert,"insert the glass box into the slot grasp, place, align",0.8536999821662903,0.9292802810668945,0.9999039769172668,0.8624347448348999,0.9118708372116089,0.004804600030183792,accept,,,,,,,provisional_model_estimate
audit_0013,s2p2e-rag-0030495,full,True,shapenet,keyboard,pick,"pick the keyboard grasp, place, align",0.897649884223938,0.9497488737106323,0.999171257019043,0.9438199996948242,0.9471721649169922,0.005784870591014624,accept,,,,,,,provisional_model_estimate
audit_0014,s2p2e-rag-0066237,full,False,objaverse,objaverse_asset,insert,insert the objaverse asset into the slot graspable rigid object with unknown semantics,0.8551413416862488,0.8617669343948364,0.999245285987854,0.6607745289802551,0.8409258127212524,0.004615981597453356,revise,,,,,,,provisional_model_estimate
audit_0015,s2p2e-rag-0003478,full,False,shapenet,airplane,pour,"pour using the airplane grasp, place, align",0.5192033648490906,0.8889516592025757,0.999713122844696,0.7968482971191406,0.8038007616996765,0.005416500847786665,revise,,,,,,,provisional_model_estimate
audit_0016,s2p2e-rag-0026062,full,False,shapenet,dresser,insert,"insert the dresser into the slot grasp, place, align",0.8503504991531372,0.9084086418151855,0.9997294545173645,0.7541645765304565,0.8781827092170715,0.005471664480865002,revise,,,,,,,provisional_model_estimate
audit_0017,s2p2e-rag-0054987,full,False,shapenet,toilet,insert,"insert the toilet into the slot grasp, place, align",0.8529790043830872,0.8691951632499695,0.9976872205734253,0.6752473711967468,0.8473507761955261,0.005828781519085169,revise,,,,,,,provisional_model_estimate
audit_0018,s2p2e-rag-0028893,full,True,shapenet,guitar,pour,"pour using the guitar grasp, place, align",0.5314427614212036,0.9628036618232727,0.9991143941879272,0.8910114169120789,0.8481138348579407,0.004823565483093262,revise,,,,,,,provisional_model_estimate
audit_0019,s2p2e-rag-0058878,full,True,shapenet,vase,pour,"pour using the vase grasp, place, align",0.864595890045166,0.8567543029785156,0.9996616244316101,0.743437647819519,0.8628162145614624,0.006793017033487558,revise,,,,,,,provisional_model_estimate
audit_0020,s2p2e-rag-0036463,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5225355625152588,0.8679627180099487,0.9996358156204224,0.6937155723571777,0.7703151702880859,0.00539726298302412,reject,,,,,,,provisional_model_estimate
audit_0021,s2p2e-rag-0000851,full,True,shapenet,airplane,place,"place the airplane at the target zone grasp, place, align",0.9019536972045898,0.9555918574333191,0.999481201171875,0.9017379879951477,0.9403347969055176,0.0031924359500408173,accept,,,,,,,provisional_model_estimate
audit_0022,s2p2e-rag-0020926,full,True,shapenet,cone,place,"place the cone at the target zone grasp, place, align",0.8963580131530762,0.9672088623046875,0.9992566108703613,0.7962690591812134,0.9158611297607422,0.0037615050096064806,accept,,,,,,,provisional_model_estimate
audit_0023,s2p2e-rag-0055392,full,False,shapenet,toilet,insert,"insert the toilet into the slot grasp, place, align",0.8515195846557617,0.8944395184516907,0.999670684337616,0.7247826457023621,0.8671268224716187,0.004896784201264381,revise,,,,,,,provisional_model_estimate
audit_0024,s2p2e-rag-0044597,full,False,shapenet,sink,insert,"insert the sink into the slot grasp, place, align",0.8539241552352905,0.9250530004501343,0.9994232058525085,0.8185621500015259,0.9002154469490051,0.002803350565955043,accept,,,,,,,provisional_model_estimate
audit_0025,s2p2e-rag-0036421,full,False,shapenet,monitor,place,"place the monitor at the target zone grasp, place, align",0.8922200202941895,0.9346548914909363,0.9994498491287231,0.7592852115631104,0.896126389503479,0.0023163501173257828,revise,,,,,,,provisional_model_estimate
audit_0026,s2p2e-rag-0020379,full,False,shapenet,chair,tool_use,"use the chair as a tool support, lift, align",0.7687681317329407,0.8503300547599792,0.9996093511581421,0.7164042592048645,0.8316963315010071,0.011762319132685661,revise,,,,,,,provisional_model_estimate
audit_0027,s2p2e-rag-0028221,full,True,shapenet,glass_box,place,"place the glass box at the target zone grasp, place, align",0.9000431895256042,0.943652331829071,0.9996829032897949,0.8354668617248535,0.92033451795578,0.003230518428608775,accept,,,,,,,provisional_model_estimate
audit_0028,s2p2e-rag-0044118,full,False,shapenet,range_hood,pour,"pour using the range hood grasp, place, align",0.521565854549408,0.9104174375534058,0.9997934103012085,0.7832193374633789,0.8071131706237793,0.0032961394172161818,revise,,,,,,,provisional_model_estimate
audit_0029,s2p2e-rag-0013396,full,True,shapenet,bottle,place,"place the bottle at the target zone grasp, pour, upright",0.8970205187797546,0.9660577774047852,0.9992152452468872,0.9497846364974976,0.9553435444831848,0.00347038428299129,accept,,,,,,,provisional_model_estimate
audit_0030,s2p2e-rag-0012156,full,True,shapenet,bottle,place,"place the bottle at the target zone grasp, pour, upright",0.9010346531867981,0.9578397870063782,0.9994199872016907,0.9293600916862488,0.9460716247558594,0.0029846904799342155,accept,,,,,,,provisional_model_estimate
audit_0031,s2p2e-rag-0049797,full,False,shapenet,stool,insert,"insert the stool into the slot grasp, place, align",0.8536883592605591,0.9082098007202148,0.9997350573539734,0.8208196759223938,0.8967299461364746,0.0034535869490355253,revise,,,,,,,provisional_model_estimate
audit_0032,s2p2e-rag-0012676,full,True,shapenet,bottle,place,"place the bottle at the target zone grasp, pour, upright",0.8936370015144348,0.9482877850532532,0.9996424913406372,0.8458583950996399,0.9218961596488953,0.002550946082919836,accept,,,,,,,provisional_model_estimate
audit_0033,s2p2e-rag-0047052,full,False,shapenet,sofa,insert,"insert the sofa into the slot support, align, place",0.6571933031082153,0.9335411787033081,0.9998960494995117,0.849354088306427,0.8647810220718384,0.005098777357488871,revise,,,,,,,provisional_model_estimate
audit_0034,s2p2e-rag-0045082,full,True,shapenet,sofa,insert,"insert the sofa into the slot support, align, place",0.8543084263801575,0.9091229438781738,0.9996865391731262,0.8526948690414429,0.9048819541931152,0.004676162730902433,accept,,,,,,,provisional_model_estimate
audit_0035,s2p2e-rag-0034671,full,True,shapenet,monitor,place,"place the monitor at the target zone grasp, place, align",0.8962939977645874,0.9454939961433411,0.999527633190155,0.8331170082092285,0.9191934466362,0.0024185788352042437,accept,,,,,,,provisional_model_estimate
audit_0036,s2p2e-rag-0005695,full,True,shapenet,bed,pick,"pick the bed grasp, place, align",0.8963462114334106,0.9160076379776001,0.9997282028198242,0.8891459703445435,0.9274635314941406,0.003016024362295866,accept,,,,,,,provisional_model_estimate
audit_0037,s2p2e-rag-0060217,full,False,shapenet,vase,insert,"insert the vase into the slot grasp, place, align",0.8517329096794128,0.8970330357551575,0.9997151494026184,0.8095264434814453,0.8889865875244141,0.0022824108600616455,revise,,,,,,,provisional_model_estimate
audit_0038,s2p2e-rag-0016361,full,False,shapenet,chair,place,"place the chair at the target zone support, lift, align",0.890539288520813,0.9205201864242554,0.9994505047798157,0.7069200873374939,0.8756493330001831,0.004776712041348219,revise,,,,,,,provisional_model_estimate
audit_0039,s2p2e-rag-0049615,full,False,shapenet,stool,pick,"pick the stool grasp, place, align",0.8928715586662292,0.935976505279541,0.9994456171989441,0.8075307607650757,0.9075295329093933,0.0029628309421241283,accept,,,,,,,provisional_model_estimate
audit_0040,s2p2e-rag-0010328,full,False,shapenet,bookshelf,pour,"pour using the bookshelf grasp, place, align",0.5279877781867981,0.8978422284126282,0.9997681379318237,0.7691022157669067,0.7978561520576477,0.003557418007403612,revise,,,,,,,provisional_model_estimate
audit_0041,s2p2e-rag-0038427,full,False,shapenet,night_stand,insert,"insert the night stand into the slot grasp, place, align",0.8441433906555176,0.8947758674621582,0.9997413754463196,0.8368635177612305,0.8950679898262024,0.004790934268385172,revise,,,,,,,provisional_model_estimate
audit_0042,s2p2e-rag-0047400,full,True,shapenet,sofa,pick,"pick the sofa support, align, place",0.8950960040092468,0.9117790460586548,0.9997376203536987,0.9112982749938965,0.9305433034896851,0.0028766312170773745,accept,,,,,,,provisional_model_estimate
audit_0043,s2p2e-rag-0025203,full,False,shapenet,dresser,pour,"pour using the dresser grasp, place, align",0.5311418175697327,0.8826841115951538,0.999384880065918,0.7548715472221375,0.7911387085914612,0.0029045818373560905,revise,,,,,,,provisional_model_estimate
audit_0044,s2p2e-rag-0009116,full,True,shapenet,bookshelf,place,"place the bookshelf at the target zone grasp, place, align",0.896449863910675,0.9504411816596985,0.9993683695793152,0.9110749959945679,0.941317081451416,0.0021307237911969423,accept,,,,,,,provisional_model_estimate
audit_0045,s2p2e-rag-0006006,full,True,shapenet,bed,place,"place the bed at the target zone grasp, place, align",0.8938421010971069,0.952135443687439,0.9995146989822388,0.8154764175415039,0.9152982831001282,0.002576318336650729,accept,,,,,,,provisional_model_estimate
audit_0046,s2p2e-rag-0029871,full,True,shapenet,guitar,place,"place the guitar at the target zone grasp, place, align",0.9029175639152527,0.9682960510253906,0.9988590478897095,0.9497058987617493,0.956786036491394,0.003311900421977043,accept,,,,,,,provisional_model_estimate
audit_0047,s2p2e-rag-0037930,full,False,shapenet,night_stand,pick,"pick the night stand grasp, place, align",0.8920515179634094,0.9219130277633667,0.9993253946304321,0.6897460222244263,0.8730908632278442,0.0029707534704357386,revise,,,,,,,provisional_model_estimate
audit_0048,s2p2e-rag-0010458,full,False,shapenet,bookshelf,pour,"pour using the bookshelf grasp, place, align",0.530105471611023,0.9276851415634155,0.9997597932815552,0.8397122621536255,0.8277908563613892,0.006112708710134029,revise,,,,,,,provisional_model_estimate
audit_0049,s2p2e-rag-0030512,full,False,shapenet,keyboard,insert,"insert the keyboard into the slot grasp, place, align",0.6596909761428833,0.9687114953994751,0.9994816780090332,0.9022839665412903,0.8871973156929016,0.006046680733561516,revise,,,,,,,provisional_model_estimate
audit_0050,s2p2e-rag-0013238,full,True,shapenet,bottle,pour,"pour using the bottle grasp, pour, upright",0.9174219965934753,0.9135769605636597,0.99900883436203,0.9531896710395813,0.9459943771362305,0.005891956854611635,accept,,,,,,,provisional_model_estimate
audit_0051,s2p2e-rag-0049823,full,False,shapenet,stool,pour,"pour using the stool grasp, place, align",0.8234210014343262,0.8605656623840332,0.9996636509895325,0.6897362470626831,0.8411824107170105,0.01062062568962574,revise,,,,,,,provisional_model_estimate
audit_0052,s2p2e-rag-0036434,full,False,shapenet,monitor,tool_use,"use the monitor as a tool grasp, place, align",0.8783789873123169,0.899762749671936,0.9997331500053406,0.8458120226860046,0.9058394432067871,0.0060045188292860985,accept,,,,,,,provisional_model_estimate
audit_0053,s2p2e-rag-0059429,full,False,shapenet,vase,tool_use,"use the vase as a tool grasp, place, align",0.5737726092338562,0.8592575192451477,0.9997862577438354,0.6284619569778442,0.7625592947006226,0.004987685941159725,reject,,,,,,,provisional_model_estimate
audit_0054,s2p2e-rag-0047819,full,True,shapenet,sofa,tool_use,"use the sofa as a tool support, align, place",0.8819578289985657,0.8906270861625671,0.999714195728302,0.8799203038215637,0.9124805331230164,0.004862318281084299,accept,,,,,,,provisional_model_estimate
audit_0055,s2p2e-rag-0021319,full,False,shapenet,cone,tool_use,"use the cone as a tool grasp, place, align",0.5476599931716919,0.790463387966156,0.9996570348739624,0.5766407251358032,0.7238346934318542,0.006946103181689978,reject,,,,,,,provisional_model_estimate
audit_0056,s2p2e-rag-0048520,full,True,shapenet,sofa,pick,"pick the sofa support, align, place",0.8979568481445312,0.9094894528388977,0.9995765686035156,0.9127153158187866,0.9311963319778442,0.003124707844108343,accept,,,,,,,provisional_model_estimate
audit_0057,s2p2e-rag-0046566,full,True,shapenet,sofa,place,"place the sofa at the target zone support, align, place",0.8996145129203796,0.9482510685920715,0.9994686245918274,0.9279152154922485,0.9446609616279602,0.0032920516096055508,accept,,,,,,,provisional_model_estimate
audit_0058,s2p2e-rag-0027460,full,True,shapenet,glass_box,pick,"pick the glass box grasp, place, align",0.8950415849685669,0.9323795437812805,0.999742329120636,0.8323992490768433,0.9154764413833618,0.0038976692594587803,accept,,,,,,,provisional_model_estimate
audit_0059,s2p2e-rag-0034993,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5223168730735779,0.8799867630004883,0.9995929598808289,0.7704964876174927,0.7920184135437012,0.0029304928611963987,revise,,,,,,,provisional_model_estimate
audit_0060,s2p2e-rag-0009358,full,False,shapenet,bookshelf,pour,"pour using the bookshelf grasp, place, align",0.5303643345832825,0.9025579690933228,0.9998248219490051,0.8251067996025085,0.8186744451522827,0.004483507014811039,revise,,,,,,,provisional_model_estimate
audit_0061,s2p2e-rag-0022431,full,True,shapenet,curtain,place,"place the curtain at the target zone grasp, place, align",0.9007796049118042,0.9661816358566284,0.999093234539032,0.9417083859443665,0.9536393284797668,0.0034632973838597536,accept,,,,,,,provisional_model_estimate
audit_0062,s2p2e-rag-0032087,full,False,shapenet,laptop,insert,"insert the laptop into the slot grasp, place, align",0.854021430015564,0.9080469012260437,0.9996782541275024,0.7229359149932861,0.8702942728996277,0.002470276551321149,revise,,,,,,,provisional_model_estimate
audit_0063,s2p2e-rag-0021417,full,False,shapenet,cone,insert,"insert the cone into the slot grasp, place, align",0.8531527519226074,0.8733876943588257,0.9995295405387878,0.6751559972763062,0.8476243019104004,0.00528712710365653,revise,,,,,,,provisional_model_estimate
audit_0064,s2p2e-rag-0060589,full,True,shapenet,wardrobe,tool_use,"use the wardrobe as a tool grasp, place, align",0.8779675364494324,0.9229077100753784,0.9995595812797546,0.8998104333877563,0.9248479604721069,0.0016873156419023871,accept,,,,,,,provisional_model_estimate
audit_0065,s2p2e-rag-0049735,full,True,shapenet,stool,pick,"pick the stool grasp, place, align",0.8954687118530273,0.9615483283996582,0.9993158578872681,0.8163790702819824,0.9200539588928223,0.002712841611355543,accept,,,,,,,provisional_model_estimate
audit_0066,s2p2e-rag-0035382,full,False,shapenet,monitor,insert,"insert the monitor into the slot grasp, place, align",0.8502874374389648,0.8899542093276978,0.9996355175971985,0.7302379012107849,0.8685730695724487,0.003914789296686649,revise,,,,,,,provisional_model_estimate
audit_0067,s2p2e-rag-0028785,full,True,shapenet,guitar,pick,"pick the guitar grasp, place, align",0.898267388343811,0.9567198753356934,0.9989033937454224,0.9546305537223816,0.9537819623947144,0.0036256469320505857,accept,,,,,,,provisional_model_estimate
audit_0068,s2p2e-rag-0042504,full,False,shapenet,radio,tool_use,"use the radio as a tool grasp, place, align",0.8749771118164062,0.8583006858825684,0.9996622204780579,0.8547312021255493,0.8976391553878784,0.005371360573917627,revise,,,,,,,provisional_model_estimate
audit_0069,s2p2e-rag-0007331,full,True,shapenet,bed,place,"place the bed at the target zone grasp, place, align",0.8960348963737488,0.9456644058227539,0.999556839466095,0.845483660697937,0.9215959310531616,0.004235209431499243,accept,,,,,,,provisional_model_estimate
audit_0070,s2p2e-rag-0030021,full,True,shapenet,guitar,place,"place the guitar at the target zone grasp, place, align",0.8943839073181152,0.9588306546211243,0.9985684156417847,0.9584396481513977,0.9546534419059753,0.0050716581754386425,accept,,,,,,,provisional_model_estimate
audit_0071,s2p2e-rag-0004207,full,False,shapenet,bathtub,insert,"insert the bathtub into the slot grasp, place, align",0.6613585948944092,0.9330255389213562,0.9999052882194519,0.8495619893074036,0.8629905581474304,0.0025792294181883335,revise,,,,,,,provisional_model_estimate
audit_0072,s2p2e-rag-0041347,full,False,shapenet,plant,insert,"insert the plant into the slot grasp, place, align",0.8525514602661133,0.8786870241165161,0.9994805455207825,0.6604720950126648,0.8489904403686523,0.004502905998378992,revise,,,,,,,provisional_model_estimate
audit_0073,s2p2e-rag-0052581,full,False,shapenet,tent,place,"place the tent at the target zone grasp, place, align",0.8955627679824829,0.8930919766426086,0.9996026158332825,0.658068060874939,0.8609603047370911,0.00447419798001647,revise,,,,,,,provisional_model_estimate
audit_0074,s2p2e-rag-0035093,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5234115719795227,0.8924605250358582,0.9997110366821289,0.8033148646354675,0.8058003187179565,0.0035049100406467915,revise,,,,,,,provisional_model_estimate
audit_0075,s2p2e-rag-0008675,full,True,shapenet,bookshelf,pick,"pick the bookshelf grasp, place, align",0.8939892053604126,0.9479961395263672,0.9993033409118652,0.8792077898979187,0.9301992654800415,0.0032718568108975887,accept,,,,,,,provisional_model_estimate
audit_0076,s2p2e-rag-0027653,full,False,shapenet,glass_box,pour,"pour using the glass box grasp, place, align",0.581336498260498,0.9163991808891296,0.9998710751533508,0.8228431940078735,0.8339187502861023,0.010460429824888706,revise,,,,,,,provisional_model_estimate
audit_0077,s2p2e-rag-0041245,full,False,shapenet,plant,pick,"pick the plant grasp, place, align",0.891345202922821,0.9039711952209473,0.9997312426567078,0.8166395425796509,0.9021212458610535,0.0036494203377515078,accept,,,,,,,provisional_model_estimate
audit_0078,s2p2e-rag-0027869,full,True,shapenet,glass_box,tool_use,"use the glass box as a tool grasp, place, align",0.8807893991470337,0.9033210873603821,0.9997596740722656,0.9115263819694519,0.9261775016784668,0.003220102982595563,accept,,,,,,,provisional_model_estimate
audit_0079,s2p2e-rag-0065435,full,True,objaverse,objaverse_asset,pick,pick the objaverse asset graspable rigid object with unknown semantics,0.8952921032905579,0.9194966554641724,0.9995951652526855,0.8569599986076355,0.9159315228462219,0.004454947076737881,accept,,,,,,,provisional_model_estimate
audit_0080,s2p2e-rag-0051856,full,True,shapenet,table,place,"place the table at the target zone support, place, align",0.9018484354019165,0.9519003033638,0.9996139407157898,0.9250673055648804,0.944787323474884,0.0020207460038363934,accept,,,,,,,provisional_model_estimate
audit_0081,s2p2e-rag-0060142,full,False,shapenet,vase,insert,"insert the vase into the slot grasp, place, align",0.8529307246208191,0.8654359579086304,0.9994214177131653,0.6409333944320679,0.8381539583206177,0.007568872068077326,revise,,,,,,,provisional_model_estimate
audit_0082,s2p2e-rag-0018726,full,False,shapenet,chair,place,"place the chair at the target zone support, lift, align",0.8971618413925171,0.9643052220344543,0.9993812441825867,0.7680665850639343,0.9085937738418579,0.003914183937013149,accept,,,,,,,provisional_model_estimate
audit_0083,s2p2e-rag-0034718,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5238231420516968,0.8751713633537292,0.9997294545173645,0.6539373397827148,0.762546956539154,0.005888135172426701,reject,,,,,,,provisional_model_estimate
audit_0084,s2p2e-rag-0018301,full,False,shapenet,chair,place,"place the chair at the target zone support, lift, align",0.8950008153915405,0.9540737271308899,0.9993737936019897,0.8041529655456543,0.9122421145439148,0.00392995635047555,accept,,,,,,,provisional_model_estimate
audit_0085,s2p2e-rag-0032325,full,False,shapenet,laptop,pick,"pick the laptop grasp, place, align",0.8916136622428894,0.9313068389892578,0.9996248483657837,0.7632700204849243,0.8953617215156555,0.0036713439039885998,revise,,,,,,,provisional_model_estimate
audit_0086,s2p2e-rag-0034438,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5188902616500854,0.8782439231872559,0.9993731379508972,0.7235873341560364,0.7807008028030396,0.0036419262178242207,revise,,,,,,,provisional_model_estimate
audit_0087,s2p2e-rag-0056155,full,True,shapenet,tv_stand,pick,"pick the tv stand grasp, place, align",0.8960980176925659,0.9575133323669434,0.9995013475418091,0.9068577885627747,0.9400890469551086,0.0028661987744271755,accept,,,,,,,provisional_model_estimate
audit_0088,s2p2e-rag-0052350,full,True,shapenet,table,pick,"pick the table support, place, align",0.8967298269271851,0.9240421056747437,0.9997550845146179,0.8768760561943054,0.9244616627693176,0.00353737804107368,accept,,,,,,,provisional_model_estimate
audit_0089,s2p2e-rag-0047447,full,False,shapenet,sofa,insert,"insert the sofa into the slot support, align, place",0.6656451225280762,0.9282941818237305,0.9998853802680969,0.8707636594772339,0.8695713877677917,0.006782525684684515,revise,,,,,,,provisional_model_estimate
audit_0090,s2p2e-rag-0028746,full,False,shapenet,glass_box,place,"place the glass box at the target zone grasp, place, align",0.8887813687324524,0.9419172406196594,0.9994738698005676,0.6979879140853882,0.8801285624504089,0.0028639785014092922,revise,,,,,,,provisional_model_estimate
audit_0091,s2p2e-rag-0018131,full,False,shapenet,chair,place,"place the chair at the target zone support, lift, align",0.8975337743759155,0.9473509788513184,0.9995010495185852,0.7568012475967407,0.8986800909042358,0.003419597866013646,revise,,,,,,,provisional_model_estimate
audit_0092,s2p2e-rag-0066784,full,False,objaverse,objaverse_asset,tool_use,use the objaverse asset as a tool graspable rigid object with unknown semantics,0.5667564272880554,0.850804328918457,0.9997431039810181,0.6934062242507935,0.7776710391044617,0.008914192207157612,reject,,,,,,,provisional_model_estimate
audit_0093,s2p2e-rag-0064686,full,False,objaverse,objaverse_asset,place,place the objaverse asset at the target zone graspable rigid object with unknown semantics,0.8903974294662476,0.9250138401985168,0.9996232986450195,0.782295286655426,0.8981404304504395,0.0026766653172671795,revise,,,,,,,provisional_model_estimate
audit_0094,s2p2e-rag-0011915,full,True,shapenet,bottle,pick,"pick the bottle grasp, pour, upright",0.8989201784133911,0.9538736343383789,0.9994809031486511,0.9357532262802124,0.9486274719238281,0.0036846757866442204,accept,,,,,,,provisional_model_estimate
audit_0095,s2p2e-rag-0006175,full,True,shapenet,bed,pick,"pick the bed grasp, place, align",0.9009326696395874,0.9215490221977234,0.9995783567428589,0.9293063282966614,0.9386149644851685,0.004129872657358646,accept,,,,,,,provisional_model_estimate
audit_0096,s2p2e-rag-0014371,full,False,shapenet,bowl,place,"place the bowl at the target zone grasp, place, align",0.892418384552002,0.9153074026107788,0.9993751645088196,0.7210375070571899,0.8792955279350281,0.004820233676582575,revise,,,,,,,provisional_model_estimate
audit_0097,s2p2e-rag-0020033,full,False,shapenet,chair,pour,"pour using the chair support, lift, align",0.5235677361488342,0.8975003361701965,0.999620258808136,0.703717827796936,0.7807403802871704,0.005662625189870596,revise,,,,,,,provisional_model_estimate
audit_0098,s2p2e-rag-0020969,full,False,shapenet,cone,tool_use,"use the cone as a tool grasp, place, align",0.5761845111846924,0.8941730260848999,0.9995759725570679,0.7217732667922974,0.7966450452804565,0.004507281351834536,revise,,,,,,,provisional_model_estimate
audit_0099,s2p2e-rag-0055333,full,False,shapenet,toilet,pour,"pour using the toilet grasp, place, align",0.5498265027999878,0.9037984609603882,0.9998413920402527,0.8346545100212097,0.8233796954154968,0.005487642716616392,revise,,,,,,,provisional_model_estimate
audit_0100,s2p2e-rag-0008326,full,True,shapenet,bench,place,"place the bench at the target zone grasp, place, align",0.8991820216178894,0.9413836598396301,0.99919193983078,0.9118334650993347,0.938949704170227,0.002510154852643609,accept,,,,,,,provisional_model_estimate
audit_0101,s2p2e-rag-0050432,full,False,shapenet,table,insert,"insert the table into the slot support, place, align",0.8531427383422852,0.8667305707931519,0.9994708895683289,0.6213788986206055,0.8309539556503296,0.0041718920692801476,revise,,,,,,,provisional_model_estimate
audit_0102,s2p2e-rag-0050019,full,False,shapenet,stool,tool_use,"use the stool as a tool grasp, place, align",0.8724765777587891,0.9174908399581909,0.9995437860488892,0.8453081250190735,0.9092510342597961,0.00556917442008853,accept,,,,,,,provisional_model_estimate
audit_0103,s2p2e-rag-0061348,full,False,shapenet,xbox,pour,"pour using the xbox grasp, place, align",0.5199378728866577,0.8804747462272644,0.9976436495780945,0.7705949544906616,0.7936500310897827,0.00508465338498354,revise,,,,,,,provisional_model_estimate
audit_0104,s2p2e-rag-0032953,full,False,shapenet,mantel,pour,"pour using the mantel grasp, place, align",0.5316957235336304,0.9105913043022156,0.9997276067733765,0.7322478294372559,0.7940206527709961,0.0029500145465135574,revise,,,,,,,provisional_model_estimate
audit_0105,s2p2e-rag-0001504,full,False,shapenet,airplane,tool_use,"use the airplane as a tool grasp, place, align",0.8794952630996704,0.8233421444892883,0.9995864033699036,0.8410905599594116,0.8854060173034668,0.004321440123021603,revise,,,,,,,provisional_model_estimate
audit_0106,s2p2e-rag-0015014,full,False,shapenet,car,tool_use,"use the car as a tool grasp, place, align",0.8766849637031555,0.8767185211181641,0.9998257756233215,0.8750182390213013,0.9075471758842468,0.003948994912207127,accept,,,,,,,provisional_model_estimate
audit_0107,s2p2e-rag-0034973,full,False,shapenet,monitor,pour,"pour using the monitor grasp, place, align",0.5241026878356934,0.8724797964096069,0.9997372627258301,0.7144269943237305,0.7787145376205444,0.0044736117124557495,reject,,,,,,,provisional_model_estimate
